abb,count
ARG,8
AUS,247
AUT,67
AZE,4
BEL,70
BIH,2
BLR,32
BRA,73
BRN,2
CAN,337
CHN,451
CIV,3
COL,3
CUB,33
CYP,2
CZE,37
DOM,1
EGY,44
ESP,183
EST,4
FIN,61
FRA,292
FRO,1
GBR,394
HKG,41
HUN,32
IND,3
IRL,45
IRQ,3
ISL,15
ISR,43
ITA,65
JAM,10
JOR,2
JPN,79
KAZ,1
KEN,18
KOR,102
LTU,5
LUX,1
MAR,12
MEX,78
NAM,2
NOR,84
NZL,58
PAN,3
PER,2
POL,221
RUS,84
SGP,3
SRB,5
SVK,17
SWE,172
THA,16
TTO,3
TUN,39
TUR,5
UKR,111
USA,533
UZB,5
